"garden_code","city","impervious_1000","floral_beta","plant_rich"
"AKT","Berlin",28.52,0.901695622,11
"ES","Munich",51.43,0.854625196,9.25
"FG","Munich",34.39,0.912827455,10.125
"GASTS","Berlin",32.72,0.781810702,14.875
"GDB","Berlin",29.59,0.884229425,8.875
"GG","Munich",60.24,0.928957666,4.625
"GP","Munich",55.53,0.906883476,12.375
"HB","Berlin",58.45,0.797881776,8
"IGF","Munich",67.13,0.913157673,12
"KF","Berlin",23.85,0.849750533,12.5714285714286
"KG","Munich",9.57,0.85129817,8.71428571428571
"KGP","Munich",53.37,0.838527875,10.75
"KLG","Berlin",96.16,0.930607753,5.85714285714286
"KP","Munich",17.05,0.762356206,5
"MG","Berlin",63.6,0.814520297,5
"OB","Munich",36.75,0.810690362,5.42857142857143
"OBZ","Munich",37.2,0.902975876,11.875
"OPI","Munich",44.43,0.882742486,4.875
"PAS","Munich",79.47,0.887178083,4.75
"PGK","Berlin",20.88,0.919382804,7.375
"POL","Berlin",38.61,0.878111363,12.7142857142857
"PWVK","Berlin",63.42,0.918572604,7.625
"RB","Berlin",45.58,0.829739834,5
"SA","Munich",49.49,0.905660867,14.125
"SCH","Berlin",24.45,0.861583755,5.5
"SFM","Berlin",27.82,0.874482843,15.625
"SG","Munich",63.95,0.902763134,13.125
"SS","Munich",25.32,0.898036695,11.5
"VG","Berlin",90.32,0.931045153,4.25
"WG","Munich",70.68,0.926014275,2.57142857142857
"WL","Berlin",55.67,0.907751524,8.625
"WS","Berlin",49.43,0.902238685,11.5
"ZKU","Berlin",83,0.857291993,11.5
