"city","garden_code","year","round","plot_index","mean_vegetation_height_cm_1x1","no_flowering_species_round","sand_cover_20x20","baresoil_cover_20x20","mean_total_flower_1x1","ratio_c_w_spp_round","total_no_treeshrub_indiv_20x20_buffer","total_no_treeshrub_species_20x20_buffer","mean_cover_canopy_perc","garden_area","impervious_1000"
"Berlin","AKT",2021,1,"AKT_2021_1",45.875,8,0,20,249.875,0.652173913,63,24,14.16666667,8084.25,28.52
"Berlin","AKT",2021,2,"AKT_2021_2",43.125,10,2,12,15.75,1.125,65,29,12.91666667,8084.25,28.52
"Berlin","AKT",2021,3,"AKT_2021_3",81.125,23,0,7,283.875,0.41025641,57,29,17.91666667,8084.25,28.52
"Berlin","AKT",2021,4,"AKT_2021_4",77.25,11,1,5,539.25,0.48,79,34,18.125,8084.25,28.52
"Munich","ES",2021,1,"ES_2021_1",10.875,2,0,52,0.375,2.25,55,14,19.58333333,636.03,51.43
"Munich","ES",2021,2,"ES_2021_2",40.875,6,0,41,29.125,1.5,77,18,37.08333333,636.03,51.43
"Munich","ES",2021,3,"ES_2021_3",85.85714286,20,0,30,162.875,1.722222222,78,19,27.70833333,636.03,51.43
"Munich","ES",2021,4,"ES_2021_4",71.75,16,0,28,152.5,1.04,79,19,24.16666667,636.03,51.43
"Munich","FG",2021,1,"FG_2021_1",9.375,4,4,35,17.125,0,241,8,0,901.38,34.39
"Munich","FG",2021,2,"FG_2021_2",38.875,8,4,35,18.875,0.375,265,14,0,901.38,34.39
"Munich","FG",2021,3,"FG_2021_3",60.5,16,5,10,306,1.260869565,269,18,0.416666667,901.38,34.39
"Munich","FG",2021,4,"FG_2021_4",63.14285714,25,3,20,2976.125,1.576923077,292,21,2.291666667,901.38,34.39
"Berlin","GASTS",2021,1,"GASTS_2021_1",25.5,14,0,18,60.75,0.366666667,45,7,8.333333333,23924.91,32.72
"Berlin","GASTS",2021,2,"GASTS_2021_2",71.125,17,0,3,57.75,0.769230769,82,10,2.708333333,23924.91,32.72
"Berlin","GASTS",2021,3,"GASTS_2021_3",80.125,20,0,2,67.625,0.4,71,11,5.416666667,23924.91,32.72
"Berlin","GASTS",2021,4,"GASTS_2021_4",57.375,10,0,5,248,0.318181818,62,11,3.75,23924.91,32.72
"Berlin","GDB",2021,1,"GDB_2021_1",28.625,7,20,30,477.125,3.142857143,53,24,27.5,3843.48,29.59
"Berlin","GDB",2021,2,"GDB_2021_2",43.125,7,5,15,27.75,1,54,32,40.41666667,3843.48,29.59
"Berlin","GDB",2021,3,"GDB_2021_3",55,10,5,20,36.375,1.428571429,44,33,45.625,3843.48,29.59
"Berlin","GDB",2021,4,"GDB_2021_4",67.625,17,5,15,157.25,1.095238095,64,38,26.66666667,3843.48,29.59
"Munich","GG",2021,1,"GG_2021_1",17.125,3,1,15,28.25,0.714285714,27,9,30.20833333,400,60.24
"Munich","GG",2021,2,"GG_2021_2",42,6,0,12,60.75,1.142857143,35,12,46.875,400,60.24
"Munich","GG",2021,3,"GG_2021_3",59,7,0,10,35.875,0.44,48,14,54.58333333,400,60.24
"Munich","GG",2021,4,"GG_2021_4",26.875,12,0,5,209.875,0.666666667,55,14,46.875,400,60.24
"Munich","GP",2021,1,"GP_2021_1",35.25,10,0,15,277.125,0.827586207,150,13,22.8125,787.57,55.53
"Munich","GP",2021,2,"GP_2021_2",74,7,0,15,18.875,1.894736842,155,16,5.208333333,787.57,55.53
"Munich","GP",2021,3,"GP_2021_3",113.375,17,0,15,69.25,1.111111111,174,19,38.33333333,787.57,55.53
"Munich","GP",2021,4,"GP_2021_4",80.875,12,1,5,173.625,0.916666667,204,23,26.875,787.57,55.53
"Berlin","HB",2021,1,"HB_2021_1",73.5,4,10,40,138.625,0.904761905,51,20,25,1685.64,58.45
"Berlin","HB",2021,2,"HB_2021_2",77.5,5,15,20,26.75,0.740740741,42,23,25.20833333,1685.64,58.45
"Berlin","HB",2021,3,"HB_2021_3",87.5,14,40,5,82.875,0.846153846,40,23,27.91666667,1685.64,58.45
"Berlin","HB",2021,4,"HB_2021_4",40.5,9,30,20,168.125,0.615384615,46,24,30.41666667,1685.64,58.45
"Munich","IGF",2021,1,"IGF_2021_1",43.75,6,0,30,24.5,0.571428571,34,17,36.875,851.22,67.13
"Munich","IGF",2021,2,"IGF_2021_2",78.25,5,2,20,5.125,0.785714286,48,23,44.58333333,851.22,67.13
"Munich","IGF",2021,3,"IGF_2021_3",94.75,16,5,10,58.375,0.742857143,77,34,39.79166667,851.22,67.13
"Munich","IGF",2021,4,"IGF_2021_4",77,17,4,10,187.75,0.810810811,92,38,43.54166667,851.22,67.13
"Berlin","KF",2021,1,"KF_2021_1",57,6,0,10,48.5,0.425,59,23,0,8738.35,23.85
